name_eng,url
Su Hwan Kim,https://www.baseball-reference.com/register/player.fcgi?id=kim---000suh
Tae Jin Kim,https://www.baseball-reference.com/register/player.fcgi?id=kim---020tae
Whee Jip Kim,https://www.baseball-reference.com/register/player.fcgi?id=kim---000whe
Woong Bin Kim,https://www.baseball-reference.com/register/player.fcgi?id=kim---000woo
Yeon Ju Kim,https://www.baseball-reference.com/register/player.fcgi?id=kim---017yeo
Yun Ha Kim,https://www.baseball-reference.com/register/player.fcgi?id=kim---004yun
Young Woo Ko,https://www.baseball-reference.com/register/player.fcgi?id=ko----001you
Hyung Jong Lee,https://www.baseball-reference.com/register/player.fcgi?id=lee---005hye
Jae Sang Lee,https://www.baseball-reference.com/register/player.fcgi?id=lee---024jae
Jong Min Lee,https://www.baseball-reference.com/register/player.fcgi?id=lee---017jon
Ju Hyoung Lee,https://www.baseball-reference.com/register/player.fcgi?id=lee---000juh
Myeong Jong Lee,https://www.baseball-reference.com/register/player.fcgi?id=lee---005mye
Seung Won Lee,https://www.baseball-reference.com/register/player.fcgi?id=lee---025seu
Won Seok Lee,https://www.baseball-reference.com/register/player.fcgi?id=lee---004won
Yong-gyu Lee,https://www.baseball-reference.com/register/player.fcgi?id=lee---001yon
Byung-Wook Lim,https://www.baseball-reference.com/register/player.fcgi?id=lim---000byu
Ji-yeol Lim,https://www.baseball-reference.com/register/player.fcgi?id=lim---001ji-
Sung Hyun Moon,https://www.baseball-reference.com/register/player.fcgi?id=moon--001sun
Seok Ju Oh,https://www.baseball-reference.com/register/player.fcgi?id=ok----000seo
Beom Jun Park,https://www.baseball-reference.com/register/player.fcgi?id=park--000beo
Ju Hong Park,https://www.baseball-reference.com/register/player.fcgi?id=park--000juh
Jun Hyeong Park,https://www.baseball-reference.com/register/player.fcgi?id=park--009jun
Seong Bhin Park,https://www.baseball-reference.com/register/player.fcgi?id=park--005seo
Seung Joo Park,https://www.baseball-reference.com/register/player.fcgi?id=park--001seu
Soo Jong Park,https://www.baseball-reference.com/register/player.fcgi?id=park--000soo
Yun Sung Park,https://www.baseball-reference.com/register/player.fcgi?id=park--001yun
Hwi Yun Shim,https://www.baseball-reference.com/register/player.fcgi?id=shim--000hwi
Jun Woo Sin,https://www.baseball-reference.com/register/player.fcgi?id=sin---001jun
Hyeon Gi Son,https://www.baseball-reference.com/register/player.fcgi?id=son---002hye
Ji Hoo Song,https://www.baseball-reference.com/register/player.fcgi?id=song--000jih
Sung Mun Song,https://www.baseball-reference.com/register/player.fcgi?id=song--000sun
Jong-hyeon Won,https://www.baseball-reference.com/register/player.fcgi?id=won---000jon
Sung Jun Won,https://www.baseball-reference.com/register/player.fcgi?id=won---000sun
Gi-hyun Yang,https://www.baseball-reference.com/register/player.fcgi?id=yang--000gi-
Jin Won Ye,https://www.baseball-reference.com/register/player.fcgi?id=ye----000jin
Jeong-Hyeon Yoon,https://www.baseball-reference.com/register/player.fcgi?id=yoon--001jeo
Seok Won Yun,https://www.baseball-reference.com/register/player.fcgi?id=yun---006seo
Hyun Min Ahn,https://www.baseball-reference.com/register/player.fcgi?id=ahn---000hyu
Chi Young An,https://www.baseball-reference.com/register/player.fcgi?id=ahn---000chi
Jung Dae Bae,https://www.baseball-reference.com/register/player.fcgi?id=bae---000bye
Wes Benjamin,https://www.baseball-reference.com/register/player.fcgi?id=benjam000wes
Seong Ho Cheon,https://www.baseball-reference.com/register/player.fcgi?id=cheon-000seo
Dae Hyun Cho,https://www.baseball-reference.com/register/player.fcgi?id=cho---000dae
Yong Ho Cho,https://www.baseball-reference.com/register/player.fcgi?id=cho---004yon
William Cuevas,https://www.baseball-reference.com/register/player.fcgi?id=cuevas001wil
Jun Ho Ha,https://www.baseball-reference.com/register/player.fcgi?id=ha----001jun
Cha Hyeon Han,https://www.baseball-reference.com/register/player.fcgi?id=han---000cha
Hyeon Bin Hong,https://www.baseball-reference.com/register/player.fcgi?id=hong--000hyu
Jae-gyun Hwang,https://www.baseball-reference.com/register/player.fcgi?id=hwang-001jae
