name_eng_x,url,name_new,name_kor,name_eng_y
Sun Woo Kim,https://www.baseball-reference.com/register/player.fcgi?id=kim---010sun,sun woo kim,김선우,Sun-Woo Kim
Adonis Medina,https://www.baseball-reference.com/register/player.fcgi?id=medina000ado,adonis medina,메디나,Adonis Medina
Mario Sanchez,https://www.baseball-reference.com/register/player.fcgi?id=sanche005mar,mario sanchez,산체스,Mario Sanchez
Woo Jin An,https://www.baseball-reference.com/register/player.fcgi?id=ahn---000woo,woo jin ahn,안우진,Woo-jin Ahn
Woo Jin An,https://www.baseball-reference.com/register/player.fcgi?id=ahn---000woo,woo jin ahn,안우진,Woo-Jin An
Sung Min Hong,https://www.baseball-reference.com/register/player.fcgi?id=hong--003sun,sung min hong,홍성민,Sung-Min Hong
Seong Jin Kim,https://www.baseball-reference.com/register/player.fcgi?id=kim---048seo,seong jin kim,김성진,Seong-Jin Kim
Byung Gyu Lee,https://www.baseball-reference.com/register/player.fcgi?id=lee---004byu,byung gyu lee,이병규,Byung-Gyu Lee
Jung Hoo Lee,https://www.baseball-reference.com/register/player.fcgi?id=lee---009jun,jung hoo lee,이정후,Jung-Hoo Lee
Seung Ho Lee,https://www.baseball-reference.com/register/player.fcgi?id=lee---015seu,seung ho lee,이승호,Seung-Ho Lee
Young Jun Lee,https://www.baseball-reference.com/register/player.fcgi?id=lee---001you,young jun lee,이영준,Young-Jun Lee
Ian McKinney,https://www.baseball-reference.com/register/player.fcgi?id=mckinn000ian,ian mckinney,맥키니,Ian McKinney
Sang Won Oh,https://www.baseball-reference.com/register/player.fcgi?id=oh----002san,sang won oh,오상원,Sang-Won Oh
Chan Hyeok Park,https://www.baseball-reference.com/register/player.fcgi?id=park--006cha,chan hyeok park,박찬혁,Chan-Hyeok Park
Jun Tae Park,https://www.baseball-reference.com/register/player.fcgi?id=park--005jun,jun tae park,박준태,Jun-Tae Park
Addison Russell,https://www.baseball-reference.com/register/player.fcgi?id=russel001add,addison russell,러셀,Addison Wayne Russell
Jae Sun Song,https://www.baseball-reference.com/register/player.fcgi?id=song--004jae,jae sun song,송재선,Jae-sun Song
Anthony Alford,https://www.baseball-reference.com/register/player.fcgi?id=alford000ant,anthony alford,알포드,Anthony Alford
Je Seong Bae,https://www.baseball-reference.com/register/player.fcgi?id=bae---001jae,je seong bae,배제성,Je-Seong Bae
Hyun Woo Jo,https://www.baseball-reference.com/register/player.fcgi?id=cho---004hye,hyun woo cho,조현우,Hyun-Woo Cho
Dong Hun Lee,https://www.baseball-reference.com/register/player.fcgi?id=lee---017don,dong hun lee,이동훈,Dong-hun Lee
Sang Ho Lee,https://www.baseball-reference.com/register/player.fcgi?id=lee---021san,sang ho lee,이상호,Sang-Ho Lee
Sang In Moon,https://www.baseball-reference.com/register/player.fcgi?id=moon--001san,sang in moon,문상인,Sang-In Moon
Sang Jun Moon,https://www.baseball-reference.com/register/player.fcgi?id=moon--002san,sang jun moon,문상준,Sang-Jun Moon
Hyun In Ryu,https://www.baseball-reference.com/register/player.fcgi?id=ryu---001hyu,hyun in ryu,류현인,Hyun-In Ryu
Jae Min Shim,https://www.baseball-reference.com/register/player.fcgi?id=shim--004jae,jae min shim,심재민,Jae-Min Sim
Min Seok Son,https://www.baseball-reference.com/register/player.fcgi?id=son---001min,min seok son,손민석,Min-Seok Son
Beau Sulser,https://www.baseball-reference.com/register/player.fcgi?id=sulser000bea,beau sulser,슐서,Beau Grayson Sulser
Woo-Suk Go,https://www.baseball-reference.com/register/player.fcgi?id=ko----001woo,woo suk ko,고우석,Woo-Suk Go
Jae Won Lee,https://www.baseball-reference.com/register/player.fcgi?id=lee---016jae,jae won lee,이재원,Jae-Won Lee
Min Ho Lee,https://www.baseball-reference.com/register/player.fcgi?id=lee---007min,min ho lee,이민호,Min-Ho Lee
Adam Plutko,https://www.baseball-reference.com/register/player.fcgi?id=plutko001ada,adam plutko,플럿코,Adam Gregory Plutko
Jung Yong Yi,https://www.baseball-reference.com/register/player.fcgi?id=yi----000jun,jung yong yi,이정용,Jung-Yong Yi
Niko Goodrum,https://www.baseball-reference.com/register/player.fcgi?id=goodru001car,niko goodrum,구드럼,Niko Goodrum
Se Jin Jang,https://www.baseball-reference.com/register/player.fcgi?id=jang--000sej,se jin jang,장세진,Se-Jin Jang
Sung Jong Jung,https://www.baseball-reference.com/register/player.fcgi?id=chung-001sun,sung jong jeong,정성종,Sung-Jong Jung
Chang Hoon Kim,https://www.baseball-reference.com/register/player.fcgi?id=kim---010cha,chang hoon kim,김창훈,Chang-Hoon Kim
Tae Wook Kim,https://www.baseball-reference.com/register/player.fcgi?id=kim---034tae,tae wook kim,김태욱,Tae-Wook Kim
Jin Ha Lee,https://www.baseball-reference.com/register/player.fcgi?id=lee---007jin,jin ha lee,이진하,Jin-Ha Lee
Won Tak Ra,https://www.baseball-reference.com/register/player.fcgi?id=ra----000won,won tak ra,나원탁,Won-Tak Ra
Zach Reks,https://www.baseball-reference.com/register/player.fcgi?id=reks--000zac,zach reks,렉스,Zach Reks
Jung Rak Shin,https://www.baseball-reference.com/register/player.fcgi?id=sin---000jun,jung rak shin,신정락,Jung-Rak Shin
Dan Straily,https://www.baseball-reference.com/register/player.fcgi?id=strail001dan,dan straily,스트레일리,Dan Straily
Soo Nyeong Yoon,https://www.baseball-reference.com/register/player.fcgi?id=yoon--001soo,soo nyeong yoon,윤수녕,Soo-Nyeong Yoon
Hyun Jin Cho,https://www.baseball-reference.com/register/player.fcgi?id=cho---003hyu,hyun jin cho,조현진,Hyun-Jin Cho
Min Suk Cho,https://www.baseball-reference.com/register/player.fcgi?id=cho---001min,min suk cho,조민석,Min-Suk Cho
Bo Sung Choi,https://www.baseball-reference.com/register/player.fcgi?id=choi--000bos,bo sung choi,최보성,Bo-Sung Choi
Erick Fedde,https://www.baseball-reference.com/register/player.fcgi?id=fedde-000eri,erick fedde,페디,Erick James Fedde
Jun Su Ha,https://www.baseball-reference.com/register/player.fcgi?id=ha----003jun,jun su ha,하준수,Jun-Su Ha
Jun Young Ha,https://www.baseball-reference.com/register/player.fcgi?id=ha----002jun,jun young ha,하준영,Jun-Young Ha
Chang Mo Koo,https://www.baseball-reference.com/register/player.fcgi?id=koo---000cha,chang mo koo,구창모,Chang-Mo Koo
Woo Seok Lee,https://www.baseball-reference.com/register/player.fcgi?id=lee---004woo,woo seok lee,이우석,Woo-Seok Lee
Ji Min Lim,https://www.baseball-reference.com/register/player.fcgi?id=lim---000jim,ji min lim,임지민,Ji-Min Lim
Jason Martin,https://www.baseball-reference.com/register/player.fcgi?id=martin007jas,jason martin,마틴,Jason Martin
Jang Han Oh,https://www.baseball-reference.com/register/player.fcgi?id=oh----000jan,jang han oh,오장한,Jang-Han Oh
Tae Yang Oh,https://www.baseball-reference.com/register/player.fcgi?id=oh----001tae,tae yang oh,오태양,Tae-Yang Oh
Dae On Park,https://www.baseball-reference.com/register/player.fcgi?id=park--000wan,dae on park,박대온,Dae-On Park
Ju Chan Park,https://www.baseball-reference.com/register/player.fcgi?id=park--000juc,ju chan park,박주찬,Ju-Chan Park
Sok-min Park,https://www.baseball-reference.com/register/player.fcgi?id=park--000sok,sok min park,박석민,Sok-Min Park
Chang-Min Shim,https://www.baseball-reference.com/register/player.fcgi?id=shim--000cha,chang min shim,심창민,Chang-Min Sim
Tanner Tully,https://www.baseball-reference.com/register/player.fcgi?id=tully-000tan,tanner tully,태너,Tanner Paul Tully
Taylor Widener,https://www.baseball-reference.com/register/player.fcgi?id=widene000tay,taylor widener,와이드너,Taylor Browning Widener
Hyeong Jun Yoon,https://www.baseball-reference.com/register/player.fcgi?id=yoon--001dae,hyeong jun yoon,윤형준,Hyeong-Jun Yoon
David Buchanan,https://www.baseball-reference.com/register/player.fcgi?id=buchan001dav,david buchanan,뷰캐넌,David Andrew Buchanan
Chung Yeon Choi,https://www.baseball-reference.com/register/player.fcgi?id=choi--000chu,chung yeon choi,최충연,Chung-Yeon Choi
Jun Seo Kang,https://www.baseball-reference.com/register/player.fcgi?id=kang--002jun,jun seo kang,강준서,Jun-Seo Kang
Ho Jae Kim,https://www.baseball-reference.com/register/player.fcgi?id=kim---004ho-,ho jae kim,김호재,Ho-Jae Kim
Sang Min Kim,https://www.baseball-reference.com/register/player.fcgi?id=kim---024san,sang min kim,김상민,Sang-Min Kim
Seo Jun Kim,https://www.baseball-reference.com/register/player.fcgi?id=kim---049seo,seo jun kim,김서준,Seo-Jun Kim
Si Hyun Kim,https://www.baseball-reference.com/register/player.fcgi?id=kim---002si-,si hyun kim,김시현,Si-Hyun Kim
Hae Seung Lee,https://www.baseball-reference.com/register/player.fcgi?id=lee---002hae,hae seung lee,이해승,Hae-Seung Lee
Jae Hee Lee,https://www.baseball-reference.com/register/player.fcgi?id=lee---019jae,jae hee lee,이재희,Jae-Hee Lee
Kwon Hoo Park,https://www.baseball-reference.com/register/player.fcgi?id=park--001kwo,kwon hoo park,박권후,Kwon-Hoo Park
José Pirela,https://www.baseball-reference.com/register/player.fcgi?id=pirela001jos,jose pirela,피렐라,José Manuel Pirela
Jun Suk Song,https://www.baseball-reference.com/register/player.fcgi?id=song--002joo,jun suk song,송준석,Jun-Suk Song
Albert Suárez,https://www.baseball-reference.com/register/player.fcgi?id=suarez001alb,albert suarez,수아레즈,Albert Joe Suárez
Chang Seop Yang,https://www.baseball-reference.com/register/player.fcgi?id=yang--000cha,chang seop yang,양창섭,Chang-Seop Yang
Geon Woong Kim,https://www.baseball-reference.com/register/player.fcgi?id=kim---002geo,geon woong kim,김건웅,Geon-Woong Kim
Jeong Min Kim,https://www.baseball-reference.com/register/player.fcgi?id=kim---020jeo,jeong min kim,김정민,Jeong-Min Kim
Joo-han Kim,https://www.baseball-reference.com/register/player.fcgi?id=kim---003joo,joo han kim,김주한,Joo-Han Kim
Heung Ryun Lee,https://www.baseball-reference.com/register/player.fcgi?id=lee---000heu,heung ryun lee,이흥련,Heung-Ryun Lee
Jeong Beom Lee,https://www.baseball-reference.com/register/player.fcgi?id=lee---013jeo,jeong beom lee,이정범,Jeong-Beom Lee
Dong Min Seo,https://www.baseball-reference.com/register/player.fcgi?id=seo---002don,dong min seo,서동민,Dong-Min Seo
Sang Jun Seo,https://www.baseball-reference.com/register/player.fcgi?id=seo---001san,sang jun seo,서상준,Sang-Jun Seo
Yong Je Choi,https://www.baseball-reference.com/register/player.fcgi?id=choi--001yon,yong je choi,최용제,Yong-Je Choi
Hyun Gu Kang,https://www.baseball-reference.com/register/player.fcgi?id=kang--000hyu,hyun gu kang,강현구,Hyun-Gu Kang
Ji Yong Kim,https://www.baseball-reference.com/register/player.fcgi?id=kim---003ji-,ji yong kim,김지용,Ji-Yong Kim
Aríel Miranda,https://www.baseball-reference.com/register/player.fcgi?id=mirand000ari,ariel miranda,미란다,Ariel Miranda
Jae-won Oh,https://www.baseball-reference.com/register/player.fcgi?id=oh----001jae,jae won oh,오재원,Jae-Won Oh
Woong Park,https://www.baseball-reference.com/register/player.fcgi?id=park--000woo,woong park,박웅,Woong Park
Robert Stock,https://www.baseball-reference.com/register/player.fcgi?id=stock-001rob,robert stock,스탁,Robert Anthony Stock
Ryan Carpenter,https://www.baseball-reference.com/register/player.fcgi?id=carpen001rya,ryan carpenter,카펜터,Ryan Nicholas Carpenter
In Seo Heo,https://www.baseball-reference.com/register/player.fcgi?id=heo---000ins,in seo heo,허인서,In-Seo Heo
Min Kyu Jeong,https://www.baseball-reference.com/register/player.fcgi?id=jeong-002min,min kyu jeong,정민규,Min-Kyu Jung
Sang Won Kang,https://www.baseball-reference.com/register/player.fcgi?id=kang--000san,sang won kang,강상원,Sang-Won Kang
Jong Soo Kim,https://www.baseball-reference.com/register/player.fcgi?id=kim---018jon,jong soo kim,김종수,Jong-Soo Kim
Nick Kingham,https://www.baseball-reference.com/register/player.fcgi?id=kingha001nic,nick kingham,킹험,Nick Kingham
Hae Chang Lee,https://www.baseball-reference.com/register/player.fcgi?id=lee---000hae,hae chang lee,이해창,Hae-Chang Lee
Jae Min Lee,https://www.baseball-reference.com/register/player.fcgi?id=lee---022jae,jae min lee,이재민,Jae-Min Lee
Seung Gwan Lee,https://www.baseball-reference.com/register/player.fcgi?id=lee---023seu,seung gwan lee,이승관,Seung-Gwan Lee
Mike Tauchman,https://www.baseball-reference.com/register/player.fcgi?id=tauchm000mic,mike tauchman,터크먼,Mike Tauchman
Sang Sam Hong,https://www.baseball-reference.com/register/player.fcgi?id=hong--000san,sang sam hong,홍상삼,Sang-Sam Hong
Hyun Jun Kim,https://www.baseball-reference.com/register/player.fcgi?id=kim---002hyu,hyun jun kim,김현준,Hyun-Jun Kim
Seung Jae Lee,https://www.baseball-reference.com/register/player.fcgi?id=lee---022seu,seung jae lee,이승재,Seung-Jae Lee
