name_eng_x,url,name_new,name_kor,name_eng_y
Dong-su Kim,https://www.baseball-reference.com/register/player.fcgi?id=kim---021don,dong su kim,,
,,dong su park,박동수,Dong-Su Park
,,dong su shin,신동수,Dong-Su Shin
Dong Uk Cho,https://www.baseball-reference.com/register/player.fcgi?id=cho---003don,dong uk cho,,
Dong Uk Kim,https://www.baseball-reference.com/register/player.fcgi?id=kim---023don,dong uk kim,,
Dong-uk Lee,https://www.baseball-reference.com/register/player.fcgi?id=lee---010don,dong uk lee,,
Dong Uk Seo,https://www.baseball-reference.com/register/player.fcgi?id=seo---003don,dong uk seo,,
,,dong uk song,송동욱,Dong-Uk Song
Dong-Weun Lee,https://www.baseball-reference.com/register/player.fcgi?id=lee---016don,dong weun lee,,
Dong Won Lee,https://www.baseball-reference.com/register/player.fcgi?id=lee---018don,dong won lee,,
,,dong woo jang,장동우,Dong-Woo Jang
,,dong wook cho,조동욱,Dong-wook Jo
,,dong wook jeong,정동욱,Dong-Wook Jeong
,,dong wook kwon,권동욱,Dong-wook Kwon
Dong Wook Park,https://www.baseball-reference.com/register/player.fcgi?id=park--001don,dong wook park,,
,,dong woon yang,양동운,Dong-woon Yang
,,dong yeong cha,차동영,Dong-Young Cha
,,dong yil yang,양동일,Dong-Yil Yang
,,dong yung kim,김동영,Dong-yung Kim
,,donk keun lee,이동근,Donk-Keun Lee
Doug Clark,https://www.baseball-reference.com/register/player.fcgi?id=clark-003dou,doug clark,,
Doug Mathis,https://www.baseball-reference.com/register/player.fcgi?id=mathis001dou,doug mathis,,
,,douglas dwyer clark,클락,Douglas Dwyer Clark
,,douglas mathis,매티스,Douglas Mathis
Drew Anderson,https://www.baseball-reference.com/register/player.fcgi?id=anders012and,drew anderson,,
Drew Gagnon,https://www.baseball-reference.com/register/player.fcgi?id=gagnon001and,drew gagnon,,
Drew Rucinski,https://www.baseball-reference.com/register/player.fcgi?id=rucins000dre,drew rucinski,,
,,du san jeong,정두산,Du-San Jeong
,,duane arthur below,빌로우,Duane Arthur Below
Duane Below,https://www.baseball-reference.com/register/player.fcgi?id=below-001dua,duane below,,
