name_eng_x,date_of_birth,url_x,name_new,name_kor,name_eng_y,url_y
,1999-10-27,,hyeon wook jeong,정현욱,Hyun-Wook Jung,https://statiz.sporki.com/player/?m=playerinfo&p_no=14569
,1991-07-12,,hyeong jin yang,양형진,Hyeong-jin Yang,https://statiz.sporki.com/player/?m=playerinfo&p_no=11313
,2000-05-17,,hyeong keun jeon,전형근,Hyung-Geun Jeon,https://statiz.sporki.com/player/?m=playerinfo&p_no=14652
,1989-08-23,,hyeong rok choi,최형록,Hyeong-rok Choi,https://statiz.sporki.com/player/?m=playerinfo&p_no=11208
,2002-01-29,,hyeong wook kim,김형욱,Hyung-Wook Kim,https://statiz.sporki.com/player/?m=playerinfo&p_no=14844
,2003-03-08,,hyi beom jeon,전희범,Hee-Beom Jeon,https://statiz.sporki.com/player/?m=playerinfo&p_no=15103
,2000-01-28,,hyi jae lee,이희재,Hui-Jae Lee,https://statiz.sporki.com/player/?m=playerinfo&p_no=13133
,1995-03-22,,hyi joo park,박희주,Hee-Joo Park,https://statiz.sporki.com/player/?m=playerinfo&p_no=13123
,1980-10-12,,hyi seong kang,강희성,Hee-Seong Kang,https://statiz.sporki.com/player/?m=playerinfo&p_no=10346
,1985-05-13,,hyi sug kwon,권희석,Hei-Sug Kwon,https://statiz.sporki.com/player/?m=playerinfo&p_no=10805
,1994-06-07,,hyi won kim,김희원,Hee-Won Kim,https://statiz.sporki.com/player/?m=playerinfo&p_no=13185
,1995-12-07,,hyi yeong yoon,윤희영,Hee-Young Yoon,https://statiz.sporki.com/player/?m=playerinfo&p_no=13118
,1989-03-02,,hyo eui hong,홍효의,Hyo-Ui Hong,https://statiz.sporki.com/player/?m=playerinfo&p_no=11105
,1990-04-18,,hyo il park,박효일,Hyo-il Park,https://statiz.sporki.com/player/?m=playerinfo&p_no=11072
,1994-03-30,,hyo jun lee,이효준,Hyo-Jun Lee,https://statiz.sporki.com/player/?m=playerinfo&p_no=13253
,1996-08-09,,hyo jun yang,양효준,Hyo-Jun Yang,https://statiz.sporki.com/player/?m=playerinfo&p_no=12555
,1990-01-22,,hyo sang lee,이효상,Hyo-Sang Lee,https://statiz.sporki.com/player/?m=playerinfo&p_no=11067
,1999-04-01,,hyo seung shin,신효승,Hyo-Seung Shin,https://statiz.sporki.com/player/?m=playerinfo&p_no=13097
,2000-12-24,,hyo soo shin,신효수,Hyo-soo Shin,https://statiz.sporki.com/player/?m=playerinfo&p_no=16137
,1999-03-10,,hyo won cho,조효원,Jo Hyo-Won,https://statiz.sporki.com/player/?m=playerinfo&p_no=15055
,1994-07-16,,hyo yong ryu,류효용,Hyo-Yong Ryu,https://statiz.sporki.com/player/?m=playerinfo&p_no=13001
,1990-08-16,,ik hyeon lim,임익현,Ik-Hyeon Lim,https://statiz.sporki.com/player/?m=playerinfo&p_no=10373
,1981-02-25,,ik soo kim,김익수,Ik-Soo Kim,https://statiz.sporki.com/player/?m=playerinfo&p_no=11454
,2004-03-07,,il hoon park,박일훈,Il-Hoon Park,https://statiz.sporki.com/player/?m=playerinfo&p_no=15438
,1996-06-24,,in ho kang,강인호,In-Ho Kang,https://statiz.sporki.com/player/?m=playerinfo&p_no=14198
,2004-01-29,,in hyeok bae,배인혁,In-Hyuk Bae,https://statiz.sporki.com/player/?m=playerinfo&p_no=15449
,1988-05-19,,in kwon hwang,황인권,In-Kwon Hwang,https://statiz.sporki.com/player/?m=playerinfo&p_no=16143
,1992-06-01,,in seok jeong,정인석,In-Seok Jung,https://statiz.sporki.com/player/?m=playerinfo&p_no=12977
,1997-11-26,,in tae yeo,여인태,In-Tae Yeo,https://statiz.sporki.com/player/?m=playerinfo&p_no=12873
,2001-12-14,,in woo park,박인우,In-woo Park,https://statiz.sporki.com/player/?m=playerinfo&p_no=16051
,2001-05-20,,jae ho lee,이재호,JAE-HO LEE,https://statiz.sporki.com/player/?m=playerinfo&p_no=15871
